Question,OptionA,OptionB,OptionC,OptionD,Answer
Which of the following is a shortcut for copying text?,A. Ctrl + V,B. Ctrl + C,C. Ctrl + X,D. Ctrl + Z,B. Ctrl + C
What is the shortcut for pasting copied text?,A. Ctrl + V,B. Ctrl +C,C. Ctrl + X,D. Ctrl + Z,A. Ctrl + V
Which shortcut is used to cut selected text?,A. Ctrl + V,B. Ctrl + C,C. Ctrl + X,D. Ctrl + Z,C. Ctrl + X
What does Ctrl + Z do?,A. Undo the last action,B. Redo the last action,C. Copy the selected text,D. Paste the copied text,A. Undo the last action
Which shortcut is used to select all text?,A. Ctrl + A,B. Ctrl + S,C. Ctrl + D,D. Ctrl + F,A. Ctrl + A
What is the shortcut for saving a document?,A. Ctrl + S,B. Ctrl + A,C. Ctrl + D,D. Ctrl + F,A. Ctrl + S
Which shortcut is used to find text in a document?,A. Ctrl + F,B. Ctrl + S,C. Ctrl + A,D. Ctrl + D,A. Ctrl + F
Which shortcut is used to open a new document?,A. Ctrl + N,B. Ctrl +O,C. Ctrl + S,D. Ctrl + P,A. Ctrl + N
What is the shortcut for printing a document?,A. Ctrl + P,B. Ctrl + S,C. Ctrl + A,D. Ctrl + F,A. Ctrl + P
Which shortcut is used to close a document?,A. Ctrl + W,B. Ctrl + S,C. Ctrl + A,D. Ctrl + F,A. Ctrl + W     
What Ctrl + + shortcut do?,A. Zoom in,B. Zoom out,C. Copy text,D. Paste text,A. Zoom in
What does Ctrl + - do?,A. Zoom in,B. Zoom out,C. Copy text,D. Paste text,B. Zoom out
Where Word wrap present?,A. View tab,B. Home tab,C. Layout tab,D. Insert tab,A. View tab
Shortcut key for add date and time in notepad document?,A. Alt + Shift + D,B. Alt + Shift + T,C. Ctrl + Shift + D,D. Ctrl + Shift + T,B. Alt + Shift + T
where to change the font size in notepad?,A. View tab,B. Home tab,C. Format tab,D. Insert tab,C. Format tab
